´ë¿©¼Ò_ID,nearest_subway_dist_m,nearest_bus_dist_m
ST-777,677.25,31.6
ST-776,420.96,84.66
ST-775,1089.71,44.67
ST-774,1061.03,195.08
ST-773,310.64,128.96
ST-772,23.69,81.24
ST-771,1327.22,252.8
ST-770,805.26,154.55
ST-77,1412.4,92.94
ST-769,760.85,13.96
ST-768,316.02,49.18
ST-767,46.41,57.76
ST-766,480.78,85.93
ST-765,82.93,6.6
ST-764,127.12,47.29
ST-763,522.51,104.17
ST-762,781.6,155.65
ST-761,277.89,89.5
ST-760,74.33,35.55
ST-76,1371.29,23.46
ST-759,286.24,14.51
ST-758,574.17,58.92
ST-757,181.65,32.28
ST-756,769.94,51.45
ST-755,875.93,54.33
ST-754,454.81,49.87
ST-753,128.17,26.35
ST-752,245.57,36.49
ST-751,132.92,285.81
ST-750,47.31,14.6
ST-749,466.22,93.15
ST-748,158.75,48.37
ST-747,278.57,176.52
ST-746,493.66,41.98
ST-745,214.39,71.77
ST-744,976.54,45.27
ST-743,796.85,19.27
ST-742,222.85,53.72
ST-741,768.58,22.85
ST-740,64.92,69.4
ST-74,606.36,212.7
ST-739,418.46,94.43
ST-738,529.53,53.76
ST-737,217.62,97.59
ST-736,1176.38,19.0
ST-735,97.59,9.27
ST-734,249.69,37.76
ST-733,181.75,58.49
ST-732,537.96,110.0
ST-731,376.83,24.84
ST-730,290.46,76.01
ST-73,88.72,23.76
ST-729,411.21,92.42
ST-728,115.26,48.63
ST-727,547.88,78.37
ST-726,61.24,45.07
ST-725,452.92,42.5
ST-724,106.09,52.46
ST-723,551.57,54.38
ST-722,719.52,32.43
ST-721,1002.38,39.09
ST-720,194.05,44.29
ST-72,54.5,147.53
ST-719,309.34,42.03
ST-718,717.08,12.04
ST-717,176.42,18.47
ST-716,776.0,60.07
ST-715,185.49,45.78
ST-714,158.65,33.07
ST-713,430.59,46.89
ST-712,53.28,60.89
ST-711,654.98,64.61
ST-710,704.45,207.51
ST-71,57.66,83.57
ST-709,1121.36,23.39
ST-708,74.93,56.41
ST-707,1503.04,30.57
ST-706,56.61,29.97
ST-705,1387.13,35.71
ST-704,810.61,8.81
ST-703,561.85,6.52
ST-702,250.36,44.27
ST-701,501.62,13.05
ST-700,442.07,30.85
ST-70,423.03,93.55
ST-7,108.64,17.79
ST-699,96.69,27.86
ST-698,358.48,24.67
ST-697,545.01,44.49
ST-696,185.58,49.84
ST-695,95.17,43.98
ST-694,860.16,37.49
ST-693,446.15,21.92
ST-692,68.2,117.76
ST-691,77.31,55.67
ST-690,46.65,34.58
ST-69,417.6,86.13
ST-689,159.62,35.59
ST-688,104.7,36.71
ST-687,107.53,90.57
ST-686,465.52,79.75
ST-685,601.55,69.23
ST-684,32.39,43.52
ST-683,66.74,34.1
ST-682,515.63,90.16
ST-681,374.92,126.07
ST-680,164.68,77.78
ST-68,695.78,74.12
ST-679,797.01,5.9
ST-678,814.61,54.18
ST-677,628.13,132.84
ST-676,1184.43,138.66
ST-675,368.07,40.06
ST-674,914.02,40.78
ST-673,550.15,129.81
ST-672,723.12,57.05
ST-671,448.77,81.64
ST-670,347.42,9.01
ST-67,654.03,255.43
ST-669,428.85,52.27
ST-668,36.87,52.87
ST-667,650.15,41.19
ST-666,203.25,6.25
ST-665,926.72,40.25
ST-664,121.16,81.25
ST-663,10.73,42.73
ST-662,515.86,18.45
ST-661,1673.66,28.82
ST-660,146.44,109.83
ST-66,532.56,43.86
ST-659,88.14,3.92
ST-658,775.82,82.86
ST-657,77.93,63.91
ST-656,144.92,17.74
ST-655,310.28,59.36
ST-654,180.37,136.66
ST-653,160.21,70.22
ST-652,193.65,105.64
ST-651,446.56,47.02
ST-650,328.37,55.59
ST-65,400.33,242.4
ST-649,345.82,6.66
ST-648,462.91,82.85
ST-647,81.68,76.13
ST-646,246.38,4.23
ST-645,331.18,66.44
ST-644,309.38,72.93
ST-643,160.51,37.64
ST-642,196.51,40.34
ST-641,395.19,79.45
ST-640,348.48,40.66
ST-64,307.22,80.04
ST-639,91.73,68.41
ST-638,1010.1,48.91
ST-637,653.14,37.29
ST-636,757.35,48.42
ST-635,1126.14,20.25
ST-634,516.57,18.4
ST-633,278.71,76.11
ST-632,539.43,59.99
ST-631,547.15,41.33
ST-630,679.25,14.83
ST-63,303.9,60.45
ST-629,855.62,51.09
ST-628,925.2,18.05
ST-627,955.51,2.02
ST-626,1306.18,40.29
ST-625,948.16,41.4
ST-624,435.54,84.05
ST-623,635.55,59.8
ST-622,816.63,80.09
ST-621,621.26,78.31
ST-620,432.78,17.71
ST-62,175.22,81.39
ST-619,27.62,59.69
ST-618,174.47,49.42
ST-617,279.45,20.4
ST-616,175.75,116.88
ST-615,729.36,31.89
ST-614,275.04,33.89
ST-613,135.8,22.03
ST-612,274.23,20.06
ST-611,182.33,25.28
ST-610,560.37,18.28
ST-61,463.61,142.11
ST-609,451.3,40.11
ST-608,262.75,146.59
ST-607,295.73,83.12
ST-606,447.54,170.36
ST-605,141.17,5.45
ST-604,546.85,84.36
ST-603,98.52,16.97
ST-602,105.78,29.25
ST-600,90.7,15.43
ST-60,315.1,82.28
ST-6,181.6,20.68
ST-599,348.42,217.66
ST-598,330.33,71.35
ST-597,676.9,47.68
ST-596,221.53,60.09
ST-595,805.73,41.63
ST-594,560.82,79.28
ST-593,513.62,103.96
ST-592,551.67,28.14
ST-591,642.44,40.47
ST-590,10.65,26.66
ST-59,449.11,6.42
ST-589,758.06,41.65
ST-588,34.69,28.97
ST-587,850.02,83.56
ST-586,49.35,3.95
ST-585,408.93,30.33
ST-584,752.54,59.65
ST-583,719.23,55.98
ST-582,459.92,79.48
ST-581,321.5,58.4
ST-580,431.68,1.76
ST-58,66.88,119.95
ST-579,218.3,117.48
ST-578,114.21,61.74
ST-577,101.23,113.35
ST-576,802.71,52.11
ST-575,267.16,43.28
ST-574,221.13,93.31
ST-573,376.94,8.88
ST-572,109.11,50.39
ST-571,91.77,47.68
ST-570,23.84,133.42
ST-57,58.84,105.19
ST-569,49.94,76.0
ST-568,104.65,52.04
ST-567,204.15,120.92
ST-566,84.44,37.31
ST-565,473.97,23.93
ST-564,729.06,114.48
ST-563,42.72,86.91
ST-562,716.54,15.09
ST-561,875.58,32.55
ST-560,649.24,53.08
ST-56,409.69,33.33
ST-559,169.3,17.05
ST-558,322.39,5.34
ST-557,71.29,45.21
ST-556,161.67,12.64
ST-555,1307.16,84.61
ST-554,1236.77,137.05
ST-553,324.69,38.07
ST-552,550.25,5.27
ST-551,650.46,83.68
ST-550,425.59,126.37
ST-55,442.25,97.24
ST-549,283.1,25.49
ST-548,249.13,67.23
ST-547,103.45,85.26
ST-546,368.09,113.87
ST-545,326.05,150.04
ST-544,68.14,27.88
ST-543,629.16,77.8
ST-542,48.02,229.07
ST-541,81.55,68.12
ST-540,174.4,98.3
ST-54,341.04,202.95
ST-539,216.34,96.47
ST-538,381.73,158.97
ST-537,761.49,27.89
ST-536,339.59,64.16
ST-535,339.94,68.46
ST-534,603.43,26.06
ST-533,1358.87,54.3
ST-532,1059.69,83.3
ST-531,749.12,48.23
ST-530,532.98,37.56
ST-53,381.91,8.09
ST-529,546.09,279.08
ST-528,182.8,145.15
ST-527,703.29,25.58
ST-526,235.2,13.11
ST-525,68.49,99.28
ST-524,179.16,19.27
ST-523,26.65,37.34
ST-522,83.72,69.02
ST-521,758.43,194.72
ST-520,539.08,239.39
ST-52,309.84,183.02
ST-519,315.69,77.48
ST-518,377.06,73.95
ST-517,434.6,42.11
ST-516,43.0,34.45
ST-515,672.46,77.4
ST-514,804.1,15.96
ST-513,299.97,43.33
ST-512,463.35,33.81
ST-511,45.36,67.0
ST-510,17.45,30.63
ST-51,73.29,53.39
ST-509,463.67,264.64
ST-508,430.1,76.64
ST-507,335.73,32.81
ST-506,77.24,46.23
ST-505,480.48,81.32
ST-504,772.54,24.36
ST-503,602.63,126.5
ST-502,558.17,140.6
ST-501,527.41,98.93
ST-500,470.07,43.2
ST-50,75.51,52.77
ST-5,144.5,10.51
ST-499,296.9,51.09
ST-498,112.08,11.16
ST-497,59.37,63.89
ST-496,238.35,11.86
ST-495,274.26,51.09
ST-494,391.86,78.23
ST-493,82.86,139.33
ST-492,103.91,47.87
ST-491,615.34,25.76
ST-490,402.35,56.41
ST-488,364.9,11.71
ST-487,620.78,132.76
ST-486,567.29,78.2
ST-485,372.47,31.18
ST-484,330.33,71.35
ST-483,145.42,104.77
ST-482,307.58,104.9
ST-481,244.26,18.41
ST-480,170.77,45.09
ST-48,430.69,404.44
ST-479,669.42,118.61
ST-478,529.65,41.51
ST-477,566.91,41.1
ST-476,1770.1,50.2
ST-475,149.06,49.26
ST-474,41.75,52.75
ST-473,149.79,55.95
ST-472,1157.45,51.88
ST-471,448.58,108.62
ST-470,123.49,46.63
ST-47,593.61,136.75
ST-469,749.07,32.3
ST-467,498.34,65.64
ST-466,246.92,7.97
ST-465,68.62,71.09
ST-464,238.41,95.7
ST-463,60.31,73.46
ST-462,38.0,43.41
ST-461,464.31,84.61
ST-460,336.24,29.84
ST-46,463.11,115.05
ST-459,51.46,44.9
ST-457,938.31,4.9
ST-456,200.91,111.15
ST-455,158.8,131.02
ST-454,183.24,77.14
ST-453,60.78,59.28
ST-452,1478.4,32.99
ST-451,1208.25,34.55
ST-450,661.52,224.17
ST-45,351.38,286.06
ST-449,672.3,38.28
