"구분별(1)",구분별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"구분별(1)",구분별(2),통근함 (%),통근시 평균 소요 시간(편도기준) (분),통근 지역별 평균 소요 시간(편도 기준) (분),통근 지역별 평균 소요 시간(편도 기준) (분),통근 지역별 평균 소요 시간(편도 기준) (분),통근 지역별 평균 소요 시간(편도 기준) (분),통근 지역별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분)
"구분별(1)",구분별(2),소계,소계,거주시군내,도내다른 시군,서울,인천,타 시도,승용차,버스,전철 지하철,택시,기차,걸어서,자전거,승합차,기타
"연령별",70 ~ 79세,25.8,28.2,19.1,52.4,57.5,53.3,99.1,32.0,38.1,48.2,52.4,0.0,12.2,19.0,24.4,26.4
"연령별",80세이상,8.5,19.4,15.8,48.3,55.1,90.0,0.0,27.6,30.9,41.6,0.0,0.0,12.0,13.7,8.7,14.4
"연령별",60세이상,40.6,32.9,21.4,48.6,62.2,58.2,89.4,34.3,40.3,56.7,30.6,123.5,13.0,19.4,35.1,30.3
"연령별",60 ~ 64세,62.2,34.8,22.5,48.1,62.7,59.1,87.7,34.8,41.9,60.8,27.6,133.1,13.8,19.9,37.1,34.9
"연령별",65세이상,29.6,30.9,20.2,49.3,61.7,56.3,91.4,33.5,38.6,53.8,34.4,109.1,12.6,19.0,33.4,26.5
"연령별",65 ~ 69세,46.9,33.8,21.7,48.1,64.0,56.0,89.5,34.2,39.8,58.3,30.3,109.1,13.1,20.1,38.7,27.7
"교육정도별",초졸이하,21.8,25.7,19.1,53.2,59.3,60.0,77.0,28.9,36.8,41.5,0.0,90.0,12.7,17.4,34.0,21.5
"교육정도별",중졸,29.9,30.2,21.9,45.3,57.3,62.5,87.3,31.1,37.5,51.8,21.8,0.0,14.1,21.1,36.6,30.8
"교육정도별",고졸,59.7,35.3,23.5,47.5,64.4,56.6,81.1,34.0,41.6,60.8,28.4,98.7,13.7,20.8,40.2,33.8
"교육정도별",대학교졸업,75.9,42.8,24.3,48.2,68.5,58.1,79.9,38.4,49.1,65.3,36.0,90.3,14.0,21.1,40.1,31.6
"교육정도별",대학원졸업,80.6,47.5,23.8,47.8,67.6,60.4,96.6,43.3,57.3,68.0,28.0,114.5,12.0,26.8,36.2,25.1
"혼인상태별",미혼,58.1,42.7,25.0,48.9,70.5,60.4,79.3,36.3,46.9,65.2,35.0,83.2,13.9,20.4,40.9,20.9
"혼인상태별",배우자 있음,66.8,38.8,23.1,47.5,65.8,57.5,83.4,37.4,45.7,63.7,27.4,104.6,13.5,21.4,38.8,35.0
"혼인상태별",사별,26.0,28.3,20.7,46.9,58.2,52.4,77.6,30.1,36.8,48.3,0.0,120.0,13.5,17.9,27.1,20.8
"혼인상태별",이혼,69.5,35.5,23.9,47.3,64.6,54.6,79.6,34.1,42.2,57.9,26.9,105.8,14.7,20.8,43.1,37.8
"가구원수별",1인가구,64.0,33.1,22.3,44.8,63.0,53.8,80.0,31.9,40.1,55.3,26.8,81.0,13.6,21.2,39.4,27.0
"가구원수별",2인가구,58.6,37.4,23.1,47.8,65.1,55.4,80.0,36.1,43.4,59.6,33.7,106.0,13.3,18.9,36.6,30.7
"가구원수별",3인가구,64.8,42.2,24.6,48.2,69.1,59.6,80.8,38.5,47.7,67.8,30.2,104.4,14.0,22.7,38.1,34.1
"가구원수별",4인가구,62.9,42.1,24.2,48.8,67.8,61.0,85.4,38.2,49.0,66.7,32.0,93.9,14.3,21.2,44.5,36.1
"가구원수별",5인가구이상,56.4,41.9,23.6,49.5,72.3,57.1,86.5,37.8,50.0,69.3,29.0,71.2,13.7,21.3,43.4,35.6
"경기도",남부,62.7,39.2,24.1,48.1,66.9,55.8,79.2,36.9,45.5,62.0,32.2,93.5,14.0,21.3,39.5,32.0
"경기도",북부,59.9,40.1,22.0,47.0,68.0,72.8,97.2,36.7,46.1,68.4,23.9,108.3,12.7,19.9,38.8,31.6
"지역별",수원시,63.1,41.1,24.7,50.3,82.1,84.8,85.9,38.1,49.5,67.8,16.1,73.7,15.9,19.8,42.3,35.1
"지역별",성남시,61.2,41.5,26.7,53.3,58.7,89.3,89.6,39.8,45.2,53.6,38.8,120.0,14.6,22.1,43.1,19.0
"지역별",의정부시,59.0,40.5,21.0,43.8,63.8,86.8,97.3,39.3,41.6,60.4,20.1,0.0,15.6,18.9,40.7,30.7
"지역별",안양시,62.1,41.6,22.3,47.2,62.9,66.2,83.4,40.5,41.6,62.3,19.2,120.0,15.8,23.7,40.6,27.3
"지역별",부천시,61.8,42.9,24.0,62.2,60.9,48.0,88.4,42.4,38.6,61.7,42.8,150.0,16.3,20.5,48.0,32.9
