시군명,운영방식유형,자전거_보유수,연간_유지관리비(백만원),대여_실적건수,자전거당_유지관리비(원),대여건당_유지관리비(원)
과천시,위탁,170,440,7397,2588235.294117647,59483.574422063
부천시,직영,167,23,2322,137724.5508982036,9905.254091300603
수원시,위탁,215,130,17488,604651.1627906977,7433.668801463861
시흥시,직영,119,310,2888,2605042.0168067226,107340.72022160665
오산시,직영,245,19,7913,77551.02040816327,2401.1120940224946
평택시,직영,142,63,22663,443661.9718309859,2779.8614481754403
