시군명,구/읍면동명,사고년도,사고유형구분,다발지역FID,다발지역ID,법정동코드,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보
안산시,단원구,2022,자전거사고다발지,6813190,2023016,4127310100,41273001,경기도 안산시 단원구1,경기도 안산시 단원구 고잔동(송호초교사거리 부근),5,6,0,2,4,0,37.31281407,126.8366721,"{""type"":""Polygon"",""coordinates"":[[[126.83846873,37.31281407],[126.83843421,37.3125353],[126.83833197,37.31226724],[126.83816595,37.3120202],[126.83794251,37.31180366],[126.83767026,37.31162595],[126.83735964,37.3114939],[126.83702261,37.31141259],[126.8366721,37.31138513],[126.8363216,37.31141259],[126.83598456,37.3114939],[126.83567395,37.31162595],[126.83540169,37.31180366],[126.83517826,37.3120202],[126.83501223,37.31226724],[126.83490999,37.3125353],[126.83487547,37.31281407],[126.83490999,37.31309284],[126.83501223,37.3133609],[126.83517826,37.31360794],[126.83540169,37.31382447],[126.83567395,37.31400217],[126.83598456,37.31413422],[126.8363216,37.31421553],[126.8366721,37.31424299],[126.83702261,37.31421553],[126.83735964,37.31413422],[126.83767026,37.31400217],[126.83794251,37.31382447],[126.83816595,37.31360794],[126.83833197,37.3133609],[126.83843421,37.31309284],[126.83846873,37.31281407]]]}"
안산시,단원구,2022,자전거사고다발지,6813099,2023016,4127310700,41273002,경기도 안산시 단원구2,경기도 안산시 단원구 초지동(화정교 부근),4,4,0,4,0,0,37.31786529,126.8213917,"{""type"":""Polygon"",""coordinates"":[[[126.82318835,37.31786529],[126.82315383,37.31758653],[126.82305159,37.31731849],[126.82288556,37.31707147],[126.82266213,37.31685494],[126.82238987,37.31667725],[126.82207926,37.31654521],[126.82174222,37.3164639],[126.82139172,37.31643644],[126.82104121,37.3164639],[126.82070418,37.31654521],[126.82039356,37.31667725],[126.82012131,37.31685494],[126.81989787,37.31707147],[126.81973185,37.31731849],[126.81962961,37.31758653],[126.81959509,37.31786529],[126.81962961,37.31814404],[126.81973185,37.31841207],[126.81989787,37.3186591],[126.82012131,37.31887562],[126.82039356,37.31905331],[126.82070418,37.31918534],[126.82104121,37.31926665],[126.82139172,37.31929411],[126.82174222,37.31926665],[126.82207926,37.31918534],[126.82238987,37.31905331],[126.82266213,37.31887562],[126.82288556,37.3186591],[126.82305159,37.31841207],[126.82315383,37.31814404],[126.82318835,37.31786529]]]}"
안산시,단원구,2022,자전거사고다발지,6813113,2023016,4127310100,41273003,경기도 안산시 단원구3,경기도 안산시 단원구 고잔동(한양빌딩사거리 부근),4,6,0,3,2,1,37.31710424,126.8302015,"{""type"":""Polygon"",""coordinates"":[[[126.83199812,37.31710424],[126.8319636,37.31682549],[126.83186136,37.31655744],[126.83169533,37.31631041],[126.8314719,37.31609389],[126.83119964,37.31591619],[126.83088903,37.31578415],[126.830552,37.31570284],[126.83020149,37.31567538],[126.82985099,37.31570284],[126.82951395,37.31578415],[126.82920334,37.31591619],[126.82893108,37.31609389],[126.82870765,37.31631041],[126.82854162,37.31655744],[126.82843938,37.31682549],[126.82840486,37.31710424],[126.82843938,37.317383],[126.82854162,37.31765104],[126.82870765,37.31789806],[126.82893108,37.31811458],[126.82920334,37.31829228],[126.82951395,37.31842431],[126.82985099,37.31850562],[126.83020149,37.31853307],[126.830552,37.31850562],[126.83088903,37.31842431],[126.83119964,37.31829228],[126.8314719,37.31811458],[126.83169533,37.31789806],[126.83186136,37.31765104],[126.8319636,37.317383],[126.83199812,37.31710424]]]}"
안산시,단원구,2022,자전거사고다발지,6813091,2023016,4127310800,41273004,경기도 안산시 단원구4,경기도 안산시 단원구 원곡동(연수원사거리 부근),4,4,0,3,1,0,37.3234234,126.800687,"{""type"":""Polygon"",""coordinates"":[[[126.80248363,37.3234234],[126.80244911,37.32314467],[126.80234687,37.32287665],[126.80218084,37.32262964],[126.80195741,37.32241314],[126.80168515,37.32223545],[126.80137454,37.32210342],[126.8010375,37.32202212],[126.800687,37.32199466],[126.80033649,37.32202212],[126.79999946,37.32210342],[126.79968884,37.32223545],[126.79941659,37.32241314],[126.79919315,37.32262964],[126.79902713,37.32287665],[126.79892489,37.32314467],[126.79889037,37.3234234],[126.79892489,37.32370213],[126.79902713,37.32397015],[126.79919315,37.32421716],[126.79941659,37.32443366],[126.79968884,37.32461134],[126.79999946,37.32474336],[126.80033649,37.32482467],[126.800687,37.32485212],[126.8010375,37.32482467],[126.80137454,37.32474336],[126.80168515,37.32461134],[126.80195741,37.32443366],[126.80218084,37.32421716],[126.80234687,37.32397015],[126.80244911,37.32370213],[126.80248363,37.3234234]]]}"
안산시,단원구,2022,자전거사고다발지,6814028,2023016,4127310300,41273005,경기도 안산시 단원구5,경기도 안산시 단원구 신길동(휴먼시아2단지 부근),4,4,0,2,2,0,37.33457244,126.7769942,"{""type"":""Polygon"",""coordinates"":[[[126.77879084,37.33457244],[126.77875632,37.33429375],[126.77865408,37.33402577],[126.77848806,37.3337788],[126.77826462,37.33356232],[126.77799237,37.33338466],[126.77768175,37.33325265],[126.77734472,37.33317136],[126.77699421,37.33314391],[126.77664371,37.33317136],[126.77630667,37.33325265],[126.77599606,37.33338466],[126.7757238,37.33356232],[126.77550037,37.3337788],[126.77533434,37.33402577],[126.7752321,37.33429375],[126.77519758,37.33457244],[126.7752321,37.33485113],[126.77533434,37.33511911],[126.77550037,37.33536608],[126.7757238,37.33558255],[126.77599606,37.3357602],[126.77630667,37.3358922],[126.77664371,37.33597349],[126.77699421,37.33600094],[126.77734472,37.33597349],[126.77768175,37.3358922],[126.77799237,37.3357602],[126.77826462,37.33558255],[126.77848806,37.33536608],[126.77865408,37.33511911],[126.77875632,37.33485113],[126.77879084,37.33457244]]]}"
안산시,단원구,2022,자전거사고다발지,6813196,2023016,4127310100,41273006,경기도 안산시 단원구6,경기도 안산시 단원구 고잔동(화정11교 부근),4,5,0,1,3,1,37.31570209,126.8214112,"{""type"":""Polygon"",""coordinates"":[[[126.8232078,37.31570209],[126.82317327,37.31542333],[126.82307103,37.31515528],[126.82290501,37.31490825],[126.82268157,37.31469172],[126.82240932,37.31451402],[126.82209871,37.31438197],[126.82176167,37.31430066],[126.82141116,37.3142732],[126.82106066,37.31430066],[126.82072362,37.31438197],[126.82041301,37.31451402],[126.82014076,37.31469172],[126.81991732,37.31490825],[126.81975129,37.31515528],[126.81964906,37.31542333],[126.81961453,37.31570209],[126.81964906,37.31598085],[126.81975129,37.3162489],[126.81991732,37.31649593],[126.82014076,37.31671245],[126.82041301,37.31689015],[126.82072362,37.31702219],[126.82106066,37.3171035],[126.82141116,37.31713095],[126.82176167,37.3171035],[126.82209871,37.31702219],[126.82240932,37.31689015],[126.82268157,37.31671245],[126.82290501,37.31649593],[126.82307103,37.3162489],[126.82317327,37.31598085],[126.8232078,37.31570209]]]}"
안산시,단원구,2022,자전거사고다발지,6813076,2023016,4127310700,41273007,경기도 안산시 단원구7,경기도 안산시 단원구 초지동(단원병원입구사거리 부근),4,4,0,1,3,0,37.29862398,126.8141178,"{""type"":""Polygon"",""coordinates"":[[[126.81591445,37.29862398],[126.81587993,37.29834516],[126.81577769,37.29807705],[126.81561166,37.29782996],[126.81538823,37.29761338],[126.81511597,37.29743564],[126.81480536,37.29730356],[126.81446832,37.29722223],[126.81411782,37.29719477],[126.81376731,37.29722223],[126.81343028,37.29730356],[126.81311966,37.29743564],[126.81284741,37.29761338],[126.81262397,37.29782996],[126.81245795,37.29807705],[126.81235571,37.29834516],[126.81232119,37.29862398],[126.81235571,37.2989028],[126.81245795,37.29917091],[126.81262397,37.299418],[126.81284741,37.29963457],[126.81311966,37.29981231],[126.81343028,37.29994438],[126.81376731,37.30002571],[126.81411782,37.30005317],[126.81446832,37.30002571],[126.81480536,37.29994438],[126.81511597,37.29981231],[126.81538823,37.29963457],[126.81561166,37.299418],[126.81577769,37.29917091],[126.81587993,37.2989028],[126.81591445,37.29862398]]]}"
안산시,단원구,2022,자전거사고다발지,6813131,2023016,4127310100,41273008,경기도 안산시 단원구8,경기도 안산시 단원구 고잔동(호수공원사거리 부근),4,4,0,1,3,0,37.304662,126.8296348,"{""type"":""Polygon"",""coordinates"":[[[126.83143146,37.304662],[126.83139694,37.3043832],[126.8312947,37.30411511],[126.83112867,37.30386804],[126.83090524,37.30365148],[126.83063298,37.30347375],[126.83032237,37.30334169],[126.82998533,37.30326036],[126.82963483,37.3032329],[126.82928432,37.30326036],[126.82894729,37.30334169],[126.82863667,37.30347375],[126.82836442,37.30365148],[126.82814098,37.30386804],[126.82797496,37.30411511],[126.82787272,37.3043832],[126.8278382,37.304662],[126.82787272,37.3049408],[126.82797496,37.30520889],[126.82814098,37.30545595],[126.82836442,37.30567251],[126.82863667,37.30585023],[126.82894729,37.30598229],[126.82928432,37.30606361],[126.82963483,37.30609107],[126.82998533,37.30606361],[126.83032237,37.30598229],[126.83063298,37.30585023],[126.83090524,37.30567251],[126.83112867,37.30545595],[126.8312947,37.30520889],[126.83139694,37.3049408],[126.83143146,37.304662]]]}"
안산시,단원구,2022,자전거사고다발지,6813098,2023016,4127310700,41273009,경기도 안산시 단원구9,경기도 안산시 단원구 초지동(초지고교삼거리 부근),4,4,0,1,2,1,37.3088716,126.8092852,"{""type"":""Polygon"",""coordinates"":[[[126.81108185,37.3088716],[126.81104733,37.30859281],[126.81094509,37.30832474],[126.81077906,37.30807768],[126.81055563,37.30786113],[126.81028338,37.30768342],[126.80997276,37.30755136],[126.80963573,37.30747004],[126.80928522,37.30744258],[126.80893472,37.30747004],[126.80859768,37.30755136],[126.80828707,37.30768342],[126.80801481,37.30786113],[126.80779138,37.30807768],[126.80762535,37.30832474],[126.80752311,37.30859281],[126.80748859,37.3088716],[126.80752311,37.30915038],[126.80762535,37.30941845],[126.80779138,37.30966551],[126.80801481,37.30988205],[126.80828707,37.31005976],[126.80859768,37.31019181],[126.80893472,37.31027313],[126.80928522,37.31030059],[126.80963573,37.31027313],[126.80997276,37.31019181],[126.81028338,37.31005976],[126.81055563,37.30988205],[126.81077906,37.30966551],[126.81094509,37.30941845],[126.81104733,37.30915038],[126.81108185,37.3088716]]]}"
안산시,상록구,2022,자전거사고다발지,6814027,2023016,4127110300,41271001,경기도 안산시 상록구1,경기도 안산시 상록구 사동(용신1교 부근),4,4,0,0,4,0,37.29373748,126.8579663,"{""type"":""Polygon"",""coordinates"":[[[126.85976289,37.29373748],[126.85972837,37.29345864],[126.85962613,37.29319051],[126.8594601,37.2929434],[126.85923667,37.29272681],[126.85896442,37.29254906],[126.8586538,37.29241697],[126.85831677,37.29233564],[126.85796626,37.29230817],[126.85761576,37.29233564],[126.85727872,37.29241697],[126.85696811,37.29254906],[126.85669585,37.29272681],[126.85647242,37.2929434],[126.85630639,37.29319051],[126.85620415,37.29345864],[126.85616963,37.29373748],[126.85620415,37.29401632],[126.85630639,37.29428444],[126.85647242,37.29453154],[126.85669585,37.29474813],[126.85696811,37.29492588],[126.85727872,37.29505796],[126.85761576,37.29513929],[126.85796626,37.29516675],[126.85831677,37.29513929],[126.8586538,37.29505796],[126.85896442,37.29492588],[126.85923667,37.29474813],[126.8594601,37.29453154],[126.85962613,37.29428444],[126.85972837,37.29401632],[126.85976289,37.29373748]]]}"
