"구분별(1)",구분별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"구분별(1)",구분별(2),통근통학함 (%),통근·통학 평균 소요 시간(편도 기준) (분),통근 통학 지역 (%),통근 통학 지역 (%),통근 통학 지역 (%),통근 통학 지역 (%),통근 통학 지역 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%)
"구분별(1)",구분별(2),소계,소계,거주시군내,도내다른 시군,서울,인천,타 시도,승용차,버스,전철 지하철,택시,기차,걸어서,자전거,승합차,기타
"연령별",60세이상,40.6,33.0,67.3,16.1,13.0,1.8,1.8,45.6,18.2,9.4,0.3,0.1,19.9,2.1,2.5,2.0
"연령별",60 ~ 64세,62.3,34.8,63.6,18.7,13.5,2.4,1.9,54.1,17.8,7.5,0.3,0.1,14.5,1.8,2.2,1.8
"연령별",65세이상,29.6,30.9,71.3,13.3,12.6,1.2,1.7,36.6,18.5,11.4,0.3,0.1,25.7,2.4,2.8,2.3
"연령별",65 ~ 69세,47.0,33.9,66.5,15.8,14.1,1.3,2.3,44.2,17.7,11.5,0.4,0.1,18.8,1.7,3.2,2.4
"교육정도별",초졸이하,34.4,22.3,88.1,7.1,3.8,0.1,0.8,16.8,24.7,5.3,0.1,0.0,46.0,2.5,2.5,2.0
"교육정도별",중졸,64.0,26.3,83.2,10.4,4.9,0.8,0.8,22.3,33.7,5.9,0.3,0.0,32.1,2.3,2.0,1.3
"교육정도별",고졸,69.3,40.1,57.8,20.6,16.5,2.0,3.1,48.3,22.3,13.4,0.3,0.2,10.9,1.2,2.0,1.4
"교육정도별",대학교졸업,76.2,42.9,47.7,22.5,26.0,2.0,1.8,55.1,17.4,17.0,0.2,0.1,7.9,0.9,0.9,0.5
"교육정도별",대학원졸업,81.5,47.7,34.5,28.5,31.6,2.1,3.3,61.6,13.8,16.8,0.1,0.4,6.0,0.7,0.6,0.0
"혼인상태별",미혼,84.1,43.1,53.9,18.7,23.3,1.8,2.4,30.1,30.4,21.3,0.3,0.3,14.9,1.1,1.0,0.6
"혼인상태별",배우자 있음,66.9,38.8,54.3,22.2,19.5,1.9,2.2,61.1,14.4,10.5,0.1,0.1,10.0,1.2,1.5,1.1
"혼인상태별",사별,26.0,28.4,76.5,11.5,9.6,1.4,1.1,29.6,25.4,9.7,0.0,0.2,30.3,2.0,2.1,0.7
"혼인상태별",이혼,69.6,35.6,63.1,19.7,13.2,2.3,1.7,52.4,19.6,9.1,0.5,0.1,13.0,1.0,2.5,1.9
"가구원수별",1인가구,66.4,32.8,65.8,18.4,13.2,1.4,1.3,45.9,20.2,10.8,0.4,0.1,17.4,1.6,2.1,1.4
"가구원수별",2인가구,60.2,37.8,58.0,19.0,19.3,1.9,1.8,51.1,18.5,13.3,0.2,0.1,12.6,1.2,1.8,1.2
"가구원수별",3인가구,72.8,42.7,50.5,22.1,23.3,1.7,2.4,50.5,20.8,15.6,0.2,0.2,9.7,1.1,1.2,0.7
"가구원수별",4인가구,78.2,42.5,51.6,21.7,21.9,2.0,2.8,47.2,22.1,15.6,0.1,0.2,11.9,1.1,1.0,0.6
"가구원수별",5인가구이상,76.2,41.9,55.1,20.0,19.9,2.4,2.6,45.7,23.5,14.7,0.1,0.1,13.2,0.8,0.8,1.1
